,Agency,Cost Type,2016,2017,2018,2019
trial_court Payroll Costs,trial_court,Payroll,489415695.4450004,490891054.4349997,506385282.5850012,522130195.97
trial_court Non-Payroll Operating Costs,trial_court,Non-Payroll Operating,111466652.30000184,108356313.99000165,110473319.37000145,124205832.61000109
trial_court Pension Costs,trial_court,Pensions,72842946.71430904,80733296.86426856,85290936.1745671,91040600.73491196
trial_court Fringe Benefit Costs,trial_court,Fringe Benefits,196028090.3759851,195389474.2422524,188247152.7328672,186942355.72592807
trial_court Capital Costs,trial_court,Capital,75283216.67999999,67766216.84,71755337.53999998,68686269.07000002
CPCS Payroll Costs,CPCS,Payroll,203113266.03500044,219228501.6700013,219057567.46,231508253.2399993
CPCS Non-Payroll Operating Costs,CPCS,Non-Payroll Operating,168956944.88999942,184985011.29000098,184347173.16999963,196805975.19999743
CPCS Pension Costs,CPCS,Pensions,2743644.599795125,3095265.2603881327,3467557.9688432007,3893469.756842264
CPCS Fringe Benefit Costs,CPCS,Fringe Benefits,17410479.820669096,17637900.977154337,16512723.38629682,16989781.435326822
CPCS Capital Costs,CPCS,Capital,0.0,0.0,0.0,0.0
DOC Payroll Costs,DOC,Payroll,410178141.77499986,408294889.6999996,415990366.3149999,431185884.81999964
DOC Non-Payroll Operating Costs,DOC,Non-Payroll Operating,97725853.44000003,95048173.11999975,96505205.59999825,98605034.89000028
DOC Pension Costs,DOC,Pensions,100610382.26649769,101740198.08409114,100524924.56637202,104284829.02091636
DOC Fringe Benefit Costs,DOC,Fringe Benefits,160177234.5500544,158472916.61473635,150286606.55630872,149811231.3662137
DOC Capital Costs,DOC,Capital,33207351.66000002,39132793.04000001,43017316.689999975,44721594.47000006
Suffolk_DA Payroll Costs,Suffolk_DA,Payroll,15567170.58,15828355.789999994,16032724.70499999,17406111.000000007
Suffolk_DA Non-Payroll Operating Costs,Suffolk_DA,Non-Payroll Operating,2736672.7899999926,2795897.999999999,2929760.2499999977,3485928.940000006
Suffolk_DA Pension Costs,Suffolk_DA,Pensions,1423007.7941232529,1511310.1046749125,1600690.82049407,1763099.4997238251
Suffolk_DA Fringe Benefit Costs,Suffolk_DA,Fringe Benefits,6029104.837948232,6083070.965600048,5735510.966747981,5991900.255910505
Suffolk_DA Capital Costs,Suffolk_DA,Capital,0.0,0.0,0.0,0.0
Suffolk_Sheriff Payroll Costs,Suffolk_Sheriff,Payroll,81354227.82000002,82184620.69500005,84160044.16000003,85087774.22500001
Suffolk_Sheriff Non-Payroll Operating Costs,Suffolk_Sheriff,Non-Payroll Operating,12144514.950000007,10874851.970000148,11296755.810000066,12219683.860000046
Suffolk_Sheriff Pension Costs,Suffolk_Sheriff,Pensions,14068502.890001066,14974931.96013771,15901941.134422608,17205456.18967759
