Agency,2016,2017,2018,2019
Appeals_Court,1547196.1082434552,1419499.8654260535,1523190.3528313995,1352878.2229512387
Boston PD,518994822.9192196,551463473.8567792,600296744.5578641,609365362.5572717
CJT,789737.6764468895,764593.8449726398,700679.5406590608,744786.6487133543
CPCS,3714259.7664456363,3652540.4201606903,3946433.2693125764,4314706.142088043
Chelsea PD,12424047.817408912,15808338.451562786,16438498.36797748,18552274.368134513
DAA,459508.7282907356,462713.63756878173,465143.7938485889,482893.0439646551
DOC,126408522.0060182,118321272.73577012,138407125.72840804,149294759.5967556
MA Sheriff's Association,51367.012230796376,47487.96241307506,47490.59086914707,43957.40842544353
MBTA,5208655.920417876,5217654.508462436,5305507.847259121,6150564.439436939
Parole_Board,4340502.6601274805,3980013.097814217,4717324.590664071,5476411.321042124
Revere PD,20268086.144985862,20527250.354668263,20912629.25640185,21563189.234876182
State_Police,70055731.29763927,72607629.52400698,74167089.45695597,74842923.766094
Suffolk_DA,25755956.002071477,26218634.860274956,26294244.574330162,28492116.567983914
Suffolk_Sheriff,136702362.03941563,136776539.24767655,138587025.32377335,140810652.49811536
Supreme_Judicial_Court,1779670.8135367187,1738953.3240477757,1904399.0762536419,2096447.277009056
Winthrop PD,4744712.2098847,5104257.67137918,5185268.429704116,5901342.581043603
trial_court,47797656.96696597,45660081.876458056,50846518.87475145,52538837.35828768
